Абрикос Apricot 
Август August 
Автобус Bus 
Автомобиль Car 
Адвокат Lawyer 
Актер Actor 
Ананас Pineapple 
Апельсин Orange 
Апрель April 
Аптека Pharmacy 
Арбуз Watermelon 
Аэропорт Airport 
Бабушка Grandmother 
Багаж Luggage 
Баклажан Eggplant 
Балкон Balcony 
Банан Banana 
Банк Bank 
Банка Bank 
Баранина Lamb 
Батарея Battery 
Бегать Run 
Бедный Poor 
Бедро Hip 
Бежать Run 
Без Without 
Белка Squirrel 
Белый White 
Бензин Gasoline 
Берег Coast 
Беспокоить Disturb 
Беспокойство Concern 
Билет Ticket 
Бледный Pale 
Блокнот Note 
Блюдо Dish 
Блюдце Saucer 
Богатый Rich 
Бокал Goblet 
Болезнь Disease 
Боль Pain 
Больница Hospital 
Больше More 
Большой Big 
Борода Beard 
Борьба Fight 
Ботинок Shoe 
Бояться Fear 
Брат Brother 
Брать Take 
Бровь Eyebrow 
Бросать Throw 
Брюки Trousers 
Буква Letter 
Бумага Paper 
Бутерброд Sandwich 
Бутылка Bottle 
Бухгалтер Accountant 
Быстро Quickly 
Быть Be 
В In 
Варенье Jam 
Вверх Up 
Ведро Bucket 
Вежливый Polite 
Велосипед Bicycle 
Веревка Rope 
Верить Believe 
Вероятно Probably 
Вероятность Probability 
Веселый Merry 
Веселье Fun 
Весна Spring 
Вести Lead 
Весь All 
Ветер Wind 
Ветчина Ham 
Вечер Evening 
Вещь Thing 
Видеть See 
Вилка Fork 
Вино Wine 
Виноград Grapes 
Вишня Cherry 
Включать Include 
Вкусный Delicious 
Влияние Impact 
Влиять Affect 
Вместе Together 
Внук Grandson 
Вовлекать Involve 
Вода Water 
Возвращаться Return 
Воздух Air 
Возможно Possibly 
Возможность Opportunity 
Вокзал Railway station 
Вокруг Around 
Волк Wolf 
Волосы Hair 
Вопрос Question 
Восемнадцать Eighteen 
Восемь Eight 
Воскресенье Sunday 
Восхитительный Delightfull 
Восхищение Admiration 
Вперед Forward 
Время Time 
Вроде Like 
Всегда Always 
Вставать Get up 
Встреча Meeting 
Встречаться Meet 
Вторник Tuesday 
Вход Entrance 
Вчера Yesterday 
Вы You 
Выбирать Choose 
Выбор Choice 
Выборы Elections 
Выводить Show 
Вызов Call 
Вызывать Call 
Выключатель Switch 
Выполнять Do 
Высокий High 
Выход Exit 
Вязать Knit 
Газета Newspaper 
Галстук Tie 
Где Where 
Глагол Verb 
Глаз Eye 
Глупый Stupid 
Говорить Say 
Говядина Beef 
Год Year 
Голень Shin 
Голова Head 
Голодный Hungry 
Голубой Blue 
Гора Mountain 
Город City 
Горох Peas 
Горький Bitter 
Горячий Hot 
Гость Guest 
Граница Border 
Грейпфрут Grapefruit 
Гречка Buckwheat 
Грубый Rough 
Грудь Chest 
Грустный Sad 
Груша Pear 
Грязный Dirty 
Губы Lips 
Гулять Walk 
Гусь Goose 
Да Yes 
Давать Give 
Даже Even 
Далеко Far 
Два Two 
Двадцать Twenty 
Двенадцать Twelve 
Дверь Door 
Движение Motion 
Двор Yard 
Девочка Girl 
Девушка Girl 
Девятнадцать Nineteen 
Девять Nine 
Дедушка Grandfather 
Действительно Really 
Декабрь December 
Делать Make 
Дело Case 
День Day 
Деньги Money 
Деревня Village 
Дерево Tree 
Держать Hold 
Десять Ten 
Дети Children 
Дешево Cheap 
Дешевый Cheap 
Джинсы Jeans 
Диван Sofa 
Длина Length 
Длинный Long 
Для For 
До To 
Добрый Good 
Доверие Confidence 
Договор Contract 
Дождь Rain 
Должен Should 
Дом Home 
Допускать Permit 
Дорога Road 
Дорогой Expensive 
Доска Board 
Достаточно Enough 
Достигать Achieve 
Достижение Achievement 
Дочь Daughter 
Друг Friend 
Другой Other 
Дуб Oak 
Думать Think 
Душ Shower 
Душа Soul 
Дым Smoke 
Дыня Melon 
Дядя Uncle 
Еда Food 
Ежевика Blackberry 
Ель Spruce 
Если If 
Есть There is 
Ехать Go 
Еще More 
Жаловаться Complain 
Жарко Hot 
Ждать Wait 
Желание Wish 
Желтый Yellow 
Желудок Stomach 
Жена Wife 
Женщина Woman 
Жесткий Hard 
Живот Stomach 
Животное Animal 
Жизнь Life 
Жир Fat 
Жираф Giraffe 
Жить Live 
Журнал Journal 
Журналист Journalist 
За Behind 
Забор Fence 
Забывать Forget 
Завтра Tomorrow 
Завтрак Breakfast 
Задача Task 
Заказывать Order 
Закат Sunset 
Закрывать Close 
Зал Hall 
Занавеска Curtain 
Заниматься Do 
Запах Odor 
Запрос Request 
Запястье Wrist 
Застенчивый Shy 
Захват Capture 
Зачем Why 
Заявление Statement 
Заяц Hare 
Здание Building 
Здесь Here 
Здоровье Health 
Здравствуй Hi 
Зеленый Green 
Земля Land 
Зеркало Mirror 
Зерно Grain 
Зима Winter 
Злой Evil 
Знакомство Familiarity 
Знание Knowledge 
Знать Know 
Зуб Tooth 
И And 
Игра Game 
Играть Play 
Идти Go 
Из-за Because of 
Избегать Avoid 
Извинять Excuse 
Изучать Study 
Или Or 
Иметь Have 
Имя Name 
Инженер Engineer 
Иногда Sometimes 
Искать Search 
Искусство Art 
Исследование Research 
Исчезать Vanish 
Июль July 
Июнь June 
Йогурт Yogurt 
Кабачок Squash 
Кабинет Cabinet 
Как How 
Какой What 
Календарь Calendar 
Калькулятор Calculator 
Камень Stone 
Капот Hood 
Капуста Cabbage 
Карандаш Pencil 
Картина Picture 
Картофель Potatoes 
Касса Cash 
Кастрюля Pan 
Кафе Cafe 
Каша Porridge 
Квартира Apartment 
Киви Kiwi 
Кино Movie 
Кислый Sour 
Кисть Brush 
Клавиатура Keyboard 
Класть Put 
Клиент Client 
Клубника Strawberries 
Ключ Key 
Книга Book 
Ковер Carpet 
Когда When 
Колбаса Sausage 
Колготки Pantyhose 
Колено Knee 
Колесо Wheel 
Количество Number 
Коллега Colleague 
Кольцо Ring 
Комната Room 
Компьютер Computer 
Конечно Certainly 
Конфета Sweet 
Корабль Ship 
Коричневый Brown 
Коробка Box 
Корова Cow 
Короткий Short 
Кость Bone 
Костюм Suit 
Кот Cat 
Кофе Coffee 
Кофта Blouse 
Кошелек Purse 
Кошка Cat 
Край Edge 
Кран Tap 
Красивый Beautiful 
Красный Red 
Красота Beauty 
